State,Total
Alabama,106.3
Alaska,34.3
Arizona,92.5
Arkansas,65.1
California,358.2
Colorado,91.7
Connecticut,36.6
Delaware,13.6
District of Columbia,2.8
Florida,233.6
Georgia,136.5
Hawaii,20.5
Idaho,20.1
Illinois,203.4
Indiana,176.1
Iowa,77.3
Kansas,60.5
Kentucky,115.4
Louisiana,194.9
Maine,14.4
Maryland,56.9
Massachusetts,63.3
Michigan,159.2
Minnesota,92.1
Mississippi,62.5
Missouri,117.0
Montana,32.3
Nebraska,50.5
Nevada,41.7
New Hampshire,13.9
New Jersey,100.8
New Mexico,48.9
New York,169.0
North Carolina,122.6
North Dakota,57.2
Ohio,196.7
Oklahoma,90.8
Oregon,41.8
Pennsylvania,218.7
Rhode Island,10.4
South Carolina,69.4
South Dakota,16.0
Tennessee,92.2
Texas,683.2
Utah,61.5
Vermont,6.0
Virginia,106.8
Washington,84.2
West Virginia,85.4
Wisconsin,94.8
Wyoming,59.1
